FIPS,GEO_ID,NAME,DP02_0053E,DP02_0054E,DP02_0055E,DP02_0056E,DP02_0057E,DP02_0058E,DP02_0059E,DP02_0060E,DP02_0061E,DP02_0062E,DP02_0063E,DP02_0064E,DP02_0065E,DP02_0066E,DP02_0067E,DP02_0068E,DP02_0151E,DP02_0152E,DP02_0153E
County FIPS,id,Geographic Area Name,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!COMPUTERS AND INTERNET USE!!Total households,Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a computer,Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription
01003,0500000US01003,"Baldwin County, Alabama",47583,1824,3012,21087,11633,10027,159717,3090,12068,41884,35034,16170,32781,18690,144559,51471,82325,77281,71352
01015,0500000US01015,"Calhoun County, Alabama",26109,1318,1190,11294,4287,8020,79084,3324,8871,27277,17243,7112,9082,6175,66889,15257,44636,38833,35353
01043,0500000US01043,"Cullman County, Alabama",18611,1424,1099,8775,3857,3456,58795,2649,8365,17924,13833,6783,5935,3306,47781,9241,32090,27889,26323
01049,0500000US01049,"DeKalb County, Alabama",17582,793,887,8335,4125,3442,47007,4668,5375,17881,8651,4433,3693,2306,36964,5999,24880,21513,20393
01051,0500000US01051,"Elmore County, Alabama",17678,728,1153,7869,4707,3221,57553,2087,3853,19992,11490,5821,9418,4892,51613,14310,30712,27867,25995
01055,0500000US01055,"Etowah County, Alabama",22891,1277,1418,10405,4543,5248,71744,2757,8623,23037,18303,6655,7524,4845,60364,12369,40053,35124,32343
01069,0500000US01069,"Houston County, Alabama",25351,1952,1258,10902,5733,5506,73454,3769,7241,22300,16573,6894,10453,6224,62444,16677,39761,36174,33555
01073,0500000US01073,"Jefferson County, Alabama",157128,10159,7509,65548,32359,41553,451818,9919,29820,121638,94959,39049,92039,64394,412079,156433,264753,240128,222097
01077,0500000US01077,"Lauderdale County, Alabama",23464,809,481,9291,5649,7234,64267,3100,6564,21989,13375,4953,8491,5795,54603,14286,38761,34254,28828
01081,0500000US01081,"Lee County, Alabama",59113,3546,3197,14425,8282,29663,101326,3087,5054,22314,19276,9640,21276,20679,93185,41955,64448,59968,54667
01083,0500000US01083,"Limestone County, Alabama",21757,1513,957,10030,5817,3440,68441,2133,6492,22913,12931,6481,12708,4783,59816,17491,32020,29903,29550
01089,0500000US01089,"Madison County, Alabama",92393,5256,4641,35794,18022,28680,257136,5575,12682,50143,52321,23140,68431,44844,238879,113275,155878,148135,139920
01095,0500000US01095,"Marshall County, Alabama",23791,1474,1891,9859,6542,4025,64756,4414,7177,21230,13112,5820,9708,3295,53165,13003,35330,31790,30110
01097,0500000US01097,"Mobile County, Alabama",92804,4286,6017,41182,21082,20237,280453,9120,26028,101149,57044,22914,41867,22331,245305,64198,155946,141238,122854
01101,0500000US01101,"Montgomery County, Alabama",60947,4930,2892,24459,11240,17426,151310,4799,11019,37602,32248,12095,30610,22937,135492,53547,88864,80859,74834
01103,0500000US01103,"Morgan County, Alabama",25426,1283,1308,12625,5796,4414,82462,4749,6885,29020,16090,6427,12666,6625,70828,19291,46470,41134,36139
01115,0500000US01115,"St. Clair County, Alabama",18330,476,1047,8639,4777,3391,62861,3307,5764,22413,15174,7676,5464,3063,53790,8527,32829,31061,27455
01117,0500000US01117,"Shelby County, Alabama",55299,3592,1663,24776,12247,13021,149221,3850,5845,30045,31275,11765,43560,22881,139526,66441,84048,80702,76393
01121,0500000US01121,"Talladega County, Alabama",16990,615,809,7158,4827,3581,55521,2877,8078,19600,11647,4808,5027,3484,44566,8511,30602,25876,25238
