,State,countyFIPS,County Name,Date,Num of Cases,Num of Deaths,population,Num of Cases per day,Num of Death per day
456463,NC,37001,alamance county,2020-01-23,0.0,0.0,169509,,
456464,NC,37001,alamance county,2020-01-24,0.0,0.0,169509,0.0,0.0
456465,NC,37001,alamance county,2020-01-25,0.0,0.0,169509,0.0,0.0
456466,NC,37001,alamance county,2020-01-26,0.0,0.0,169509,0.0,0.0
456467,NC,37001,alamance county,2020-01-27,0.0,0.0,169509,0.0,0.0
456468,NC,37001,alamance county,2020-01-28,0.0,0.0,169509,0.0,0.0
456469,NC,37001,alamance county,2020-01-29,0.0,0.0,169509,0.0,0.0
456470,NC,37001,alamance county,2020-01-30,0.0,0.0,169509,0.0,0.0
456471,NC,37001,alamance county,2020-01-31,0.0,0.0,169509,0.0,0.0
456472,NC,37001,alamance county,2020-02-01,0.0,0.0,169509,0.0,0.0
456473,NC,37001,alamance county,2020-02-02,0.0,0.0,169509,0.0,0.0
456474,NC,37001,alamance county,2020-02-03,0.0,0.0,169509,0.0,0.0
456475,NC,37001,alamance county,2020-02-04,0.0,0.0,169509,0.0,0.0
456476,NC,37001,alamance county,2020-02-05,0.0,0.0,169509,0.0,0.0
456477,NC,37001,alamance county,2020-02-06,0.0,0.0,169509,0.0,0.0
456478,NC,37001,alamance county,2020-02-07,0.0,0.0,169509,0.0,0.0
456479,NC,37001,alamance county,2020-02-08,0.0,0.0,169509,0.0,0.0
456480,NC,37001,alamance county,2020-02-09,0.0,0.0,169509,0.0,0.0
456481,NC,37001,alamance county,2020-02-10,0.0,0.0,169509,0.0,0.0
456482,NC,37001,alamance county,2020-02-11,0.0,0.0,169509,0.0,0.0
456483,NC,37001,alamance county,2020-02-12,0.0,0.0,169509,0.0,0.0
456484,NC,37001,alamance county,2020-02-13,0.0,0.0,169509,0.0,0.0
456485,NC,37001,alamance county,2020-02-14,0.0,0.0,169509,0.0,0.0
456486,NC,37001,alamance county,2020-02-15,0.0,0.0,169509,0.0,0.0
456487,NC,37001,alamance county,2020-02-16,0.0,0.0,169509,0.0,0.0
456488,NC,37001,alamance county,2020-02-17,0.0,0.0,169509,0.0,0.0
456489,NC,37001,alamance county,2020-02-18,0.0,0.0,169509,0.0,0.0
456490,NC,37001,alamance county,2020-02-19,0.0,0.0,169509,0.0,0.0
456491,NC,37001,alamance county,2020-02-20,0.0,0.0,169509,0.0,0.0
456492,NC,37001,alamance county,2020-02-21,0.0,0.0,169509,0.0,0.0
456493,NC,37001,alamance county,2020-02-22,0.0,0.0,169509,0.0,0.0
456494,NC,37001,alamance county,2020-02-23,0.0,0.0,169509,0.0,0.0
456495,NC,37001,alamance county,2020-02-24,0.0,0.0,169509,0.0,0.0
456496,NC,37001,alamance county,2020-02-25,0.0,0.0,169509,0.0,0.0
456497,NC,37001,alamance county,2020-02-26,0.0,0.0,169509,0.0,0.0
456498,NC,37001,alamance county,2020-02-27,0.0,0.0,169509,0.0,0.0
456499,NC,37001,alamance county,2020-02-28,0.0,0.0,169509,0.0,0.0
456500,NC,37001,alamance county,2020-02-29,0.0,0.0,169509,0.0,0.0
456501,NC,37001,alamance county,2020-03-01,0.0,0.0,169509,0.0,0.0
456502,NC,37001,alamance county,2020-03-02,0.0,0.0,169509,0.0,0.0
456503,NC,37001,alamance county,2020-03-03,0.0,0.0,169509,0.0,0.0
456504,NC,37001,alamance county,2020-03-04,0.0,0.0,169509,0.0,0.0
456505,NC,37001,alamance county,2020-03-05,0.0,0.0,169509,0.0,0.0
456506,NC,37001,alamance county,2020-03-06,0.0,0.0,169509,0.0,0.0
456507,NC,37001,alamance county,2020-03-07,0.0,0.0,169509,0.0,0.0
456508,NC,37001,alamance county,2020-03-08,0.0,0.0,169509,0.0,0.0
456509,NC,37001,alamance county,2020-03-09,0.0,0.0,169509,0.0,0.0
456510,NC,37001,alamance county,2020-03-10,0.0,0.0,169509,0.0,0.0
456511,NC,37001,alamance county,2020-03-11,0.0,0.0,169509,0.0,0.0
456512,NC,37001,alamance county,2020-03-12,0.0,0.0,169509,0.0,0.0
456513,NC,37001,alamance county,2020-03-13,0.0,0.0,169509,0.0,0.0
456514,NC,37001,alamance county,2020-03-14,0.0,0.0,169509,0.0,0.0
